?taxon	?taxon_name
<http://www.wikidata.org/entity/Q1000126>	"Cyperus tegetiformis"@en
<http://www.wikidata.org/entity/Q1000303>	"Chelodina siebenrocki"@en
<http://www.wikidata.org/entity/Q100030587>	"Acasta squamosa"@en
<http://www.wikidata.org/entity/Q100031938>	"Contradens"@en
<http://www.wikidata.org/entity/Q100054095>	"Laephotis matroka"@en
<http://www.wikidata.org/entity/Q100073641>	"Corbicula rivalis"@en
<http://www.wikidata.org/entity/Q10007391>	"Nostocophycidae"@en
<http://www.wikidata.org/entity/Q100097893>	"Centruroides altagraciae"@en
<http://www.wikidata.org/entity/Q100110914>	"Centruroides huichol"@en
<http://www.wikidata.org/entity/Q100140069>	"Tropeognathinae"@en
<http://www.wikidata.org/entity/Q100141993>	"Spratelloididae"@en
<http://www.wikidata.org/entity/Q100142160>	"Gyrinocheiloidei"@en
<http://www.wikidata.org/entity/Q100142812>	"Catostomoidei"@en
<http://www.wikidata.org/entity/Q100142911>	"Myxocyprininae"@en
<http://www.wikidata.org/entity/Q100143301>	"Cycleptinae"@en
<http://www.wikidata.org/entity/Q100143961>	"Leptobotiinae"@en
<http://www.wikidata.org/entity/Q100144116>	"Probarbinae"@en
<http://www.wikidata.org/entity/Q100144336>	"Smiliogastrinae"@en
<http://www.wikidata.org/entity/Q100144344>	"Acrossocheilinae"@en
<http://www.wikidata.org/entity/Q100144437>	"Spinibarbinae"@en
<http://www.wikidata.org/entity/Q100144438>	"Schizopygopsinae"@en
<http://www.wikidata.org/entity/Q100144449>	"Chedrinae"@en
<http://www.wikidata.org/entity/Q100144475>	"Esominae"@en
<http://www.wikidata.org/entity/Q100144476>	"Graviscalpellum chapmani"@en
<http://www.wikidata.org/entity/Q100144480>	"Leptobarbidae"@en
<http://www.wikidata.org/entity/Q100144502>	"Corbicula virescens"@en
<http://www.wikidata.org/entity/Q100144506>	"Pseudaspininae"@en
<http://www.wikidata.org/entity/Q100144507>	"Laviniinae"@en
<http://www.wikidata.org/entity/Q100144509>	"Plagopterinae"@en
<http://www.wikidata.org/entity/Q100144513>	"Pogonichthyinae"@en
<http://www.wikidata.org/entity/Q100144526>	"Sternarchorhamphinae"@en
<http://www.wikidata.org/entity/Q100144543>	"Apteronotinae"@en
<http://www.wikidata.org/entity/Q100144580>	"Electrophorinae"@en
<http://www.wikidata.org/entity/Q100144589>	"Gymnotinae"@en
<http://www.wikidata.org/entity/Q100144595>	"Microcambevinae"@en
<http://www.wikidata.org/entity/Q100144677>	"Rhinelepinae"@en
<http://www.wikidata.org/entity/Q100144692>	"Chrysolinina"@en
<http://www.wikidata.org/entity/Q100144812>	"Akysinae"@en
<http://www.wikidata.org/entity/Q100144819>	"Pseudobunocephalinae"@en
<http://www.wikidata.org/entity/Q100144822>	"Wertheimerinae"@en
<http://www.wikidata.org/entity/Q100145302>	"Astrodoradinae"@en
<http://www.wikidata.org/entity/Q100145338>	"Doradinae"@en
<http://www.wikidata.org/entity/Q100145358>	"Phreatobiidae"@en
<http://www.wikidata.org/entity/Q100145738>	"Gymnoscopelinae"@en
<http://www.wikidata.org/entity/Q100145763>	"Notolychninae"@en
<http://www.wikidata.org/entity/Q100145986>	"Diaphinae"@en
<http://www.wikidata.org/entity/Q100145993>	"Nerophinae"@en
<http://www.wikidata.org/entity/Q100146003>	"Indostomoidei"@en
<http://www.wikidata.org/entity/Q100146104>	"Itapecuruemys"@en
<http://www.wikidata.org/entity/Q100146122>	"Trichogastrinae"@en
<http://www.wikidata.org/entity/Q100146133>	"Centropomoidei"@en
<http://www.wikidata.org/entity/Q100146188>	"Atheresthinae"@en
<http://www.wikidata.org/entity/Q100146202>	"Pleuronichthyinae"@en
<http://www.wikidata.org/entity/Q100146205>	"Microstominae"@en
<http://www.wikidata.org/entity/Q100146219>	"Kallymenicola"@en
<http://www.wikidata.org/entity/Q100146221>	"Oncopteridae"@en
<http://www.wikidata.org/entity/Q100146223>	"Toxotoidei"@en
<http://www.wikidata.org/entity/Q100148009>	"Torngatum"@en
<http://www.wikidata.org/entity/Q100148107>	"Dictyonematomyces"@en
<http://www.wikidata.org/entity/Q100148316>	"Nematistioidei"@en
<http://www.wikidata.org/entity/Q100148330>	"Menoidei"@en
<http://www.wikidata.org/entity/Q100148342>	"Carangoidei"@en
<http://www.wikidata.org/entity/Q100149230>	"Heyunanniinae"@en
<http://www.wikidata.org/entity/Q100149247>	"Atroporus"@en
<http://www.wikidata.org/entity/Q100150243>	"Coriollianassa"@en
<http://www.wikidata.org/entity/Q100150562>	"Coriollianassa coriolisae"@en
<http://www.wikidata.org/entity/Q100151438>	"Mauremys sinensis changwui"@en
<http://www.wikidata.org/entity/Q100151841>	"Lymantria mathura subpallida"@en
<http://www.wikidata.org/entity/Q100151858>	"Paussopsis"@en
<http://www.wikidata.org/entity/Q100152429>	"Oksoko avarsan"@en
<http://www.wikidata.org/entity/Q100152470>	"Graviscalpellum complanatum"@en
<http://www.wikidata.org/entity/Q100152805>	"Melanothrius"@en
<http://www.wikidata.org/entity/Q100153107>	"Polypodium maximowiczii"@en
<http://www.wikidata.org/entity/Q100154031>	"Statice cumana"@en
<http://www.wikidata.org/entity/Q100154044>	"Kryptolebiatinae"@en
<http://www.wikidata.org/entity/Q100154047>	"Cynolebiinae"@en
<http://www.wikidata.org/entity/Q100154059>	"Orestiinae"@en
<http://www.wikidata.org/entity/Q100154069>	"Xenodexiinae"@en
<http://www.wikidata.org/entity/Q100154077>	"Tomeurinae"@en
<http://www.wikidata.org/entity/Q100154099>	"Lepadogastrinae"@en
<http://www.wikidata.org/entity/Q100154105>	"Aspasminae"@en
<http://www.wikidata.org/entity/Q100154107>	"Chorisochisminae"@en
<http://www.wikidata.org/entity/Q100154109>	"Haplocylicinae"@en
<http://www.wikidata.org/entity/Q100154137>	"Triacanthodoidei"@en
<http://www.wikidata.org/entity/Q100154143>	"Scorpididae"@en
<http://www.wikidata.org/entity/Q100154149>	"Microcanthidae"@en
<http://www.wikidata.org/entity/Q100154171>	"Hemilutjanidae"@en
<http://www.wikidata.org/entity/Q100154192>	"Caesioscorpididae"@en
<http://www.wikidata.org/entity/Q100154195>	"Latilidae"@en
<http://www.wikidata.org/entity/Q100154207>	"Monotaxinae"@en
<http://www.wikidata.org/entity/Q100154210>	"Owstoniinae"@en
<http://www.wikidata.org/entity/Q100154233>	"Neozoarcidae"@en
<http://www.wikidata.org/entity/Q100154328>	"Opisthocentridae"@en
<http://www.wikidata.org/entity/Q100154333>	"Pholinae"@en
<http://www.wikidata.org/entity/Q100154339>	"Eleginopidae"@en
<http://www.wikidata.org/entity/Q100154342>	"Congiopodinae"@en
<http://www.wikidata.org/entity/Q100154344>	"Zanclorhynchinae"@en
<http://www.wikidata.org/entity/Q100154368>	"Eumicrotreminae"@en
<http://www.wikidata.org/entity/Q100156160>	"Tricholapita mars"@en
<http://www.wikidata.org/entity/Q100157268>	"Chloranthidae"@en
